time,siteID,range,range_rate
3261.9261926193,2.0000000000,2663.0434007692,-5.5014642657
3267.3267326733,2.0000000000,2633.3494838759,-5.4953867373
3272.7272727273,2.0000000000,2603.6881852495,-5.4887290999
3278.1278127813,2.0000000000,2574.0676262931,-5.4814481666
3283.5283528353,2.0000000000,2544.4837490556,-5.4735157046
3288.9288928893,2.0000000000,2514.9472360355,-5.4649220627
3294.3294329433,2.0000000000,2485.4577791363,-5.4555949052
3299.7299729973,2.0000000000,2456.0214768149,-5.4455522989
3305.1305130513,2.0000000000,2426.6415463652,-5.4347175381
3310.5310531053,2.0000000000,2397.3221827880,-5.4230653366
3315.9315931593,2.0000000000,2368.0690629588,-5.4105823747
3321.3321332133,2.0000000000,2338.8862095719,-5.3971840212
3326.7326732673,2.0000000000,2309.7749577402,-5.3828514698
3332.1332133213,2.0000000000,2280.7445766830,-5.3675020612
3337.5337533753,2.0000000000,2251.8004437005,-5.3511316135
3342.9342934293,2.0000000000,2222.9521944542,-5.3336508551
3348.3348334833,2.0000000000,2194.1937480445,-5.3150282259
3353.7353735374,2.0000000000,2165.5435505205,-5.2951805220
3359.1359135914,2.0000000000,2137.0034443005,-5.2740958844
3364.5364536454,2.0000000000,2108.5794712142,-5.2516346154
3369.9369936994,2.0000000000,2080.2823219476,-5.2278077202
3375.3375337534,2.0000000000,2052.1187182845,-5.2024470650
3380.7380738074,2.0000000000,2024.0917060105,-5.1755363571
3386.1386138614,2.0000000000,1996.2190043162,-5.1470111619
3391.5391539154,2.0000000000,1968.5023097199,-5.1167366843
3396.9396939694,2.0000000000,1940.9543436547,-5.0846576997
3402.3402340234,2.0000000000,1913.5881472943,-5.0506393995
3407.7407740774,2.0000000000,1886.4060010149,-5.0145749773
3413.1413141314,2.0000000000,1859.4281390698,-4.9763997652
3418.5418541854,2.0000000000,1832.6606970922,-4.9359636116
3423.9423942394,2.0000000000,1806.1195798214,-4.8931929576
3429.3429342934,2.0000000000,1779.8123796605,-4.8479228813
3434.7434743474,2.0000000000,1753.7603906422,-4.8000294181
3440.1440144014,2.0000000000,1727.9737187579,-4.7493657240
3445.5445544554,2.0000000000,1702.4667795431,-4.6958183630
3450.9450945095,2.0000000000,1677.2564001451,-4.6391939028
3456.3456345635,2.0000000000,1652.3635808245,-4.5794018879
3461.7461746175,2.0000000000,1627.8025617646,-4.5162042701
3467.1467146715,2.0000000000,1603.5906052378,-4.4494982484
3472.5472547255,2.0000000000,1579.7490581706,-4.3790548834
3477.9477947795,2.0000000000,1556.3002422856,-4.3047259871
3483.3483348335,2.0000000000,1533.2625875138,-4.2263278205
3488.7488748875,2.0000000000,1510.6568200297,-4.1436912272
3494.1494149415,2.0000000000,1488.5133000328,-4.0566096936
3499.5499549955,2.0000000000,1466.8492071432,-3.9649324213
3504.9504950495,2.0000000000,1445.6964996277,-3.8684416353
3510.3510351035,2.0000000000,1425.0775511112,-3.7669381486
3515.7515751575,2.0000000000,1405.0187426475,-3.6602945742
3521.1521152115,2.0000000000,1385.5525042914,-3.5483477265
3526.5526552655,2.0000000000,1366.7031188261,-3.4308832821
3531.9531953195,2.0000000000,1348.5035451732,-3.3078372766
3537.3537353735,2.0000000000,1330.9837747320,-3.1790200366
3542.7542754275,2.0000000000,1314.1756358671,-3.0443930061
3548.1548154815,2.0000000000,1298.1124579364,-2.9038188022
3553.5553555356,2.0000000000,1282.8233034231,-2.7572897900
3558.9558955896,2.0000000000,1268.3408723885,-2.6047814743
3564.3564356436,2.0000000000,1254.6996976994,-2.4463253264
3569.7569756976,2.0000000000,1241.9273580787,-2.2819675916
3575.1575157516,2.0000000000,1230.0625368024,-2.1118602102
3580.5580558056,2.0000000000,1219.1301399890,-1.9361585759
3585.9585958596,2.0000000000,1209.1589763889,-1.7550304516
3591.3591359136,2.0000000000,1200.1813559674,-1.5687999600
3596.7596759676,2.0000000000,1192.2225801485,-1.3777483795
3602.1602160216,2.0000000000,1185.3083954814,-1.1822695965
3607.5607560756,2.0000000000,1179.4603951612,-0.9827792223
3612.9612961296,2.0000000000,1174.7003908252,-0.7797476185
3618.3618361836,2.0000000000,1171.0421375879,-0.5737002351
3623.7623762376,2.0000000000,1168.5088090018,-0.3651886560
3629.1629162916,2.0000000000,1167.1027390344,-0.1547778163
3634.5634563456,2.0000000000,1166.8384188514,0.0569213296
3639.9639963996,2.0000000000,1167.7191887332,0.2692311148
3645.3645364536,2.0000000000,1169.7441452329,0.4815922392
3650.7650765077,2.0000000000,1172.9184679677,0.6933418203
3656.1656165617,2.0000000000,1177.2320517590,0.9038720272
3661.5661566157,2.0000000000,1182.6777752124,1.1126062233
3666.9666966697,2.0000000000,1189.2461460180,1.3189651604
3672.3672367237,2.0000000000,1196.9202335616,1.5224618350
3677.7677767777,2.0000000000,1205.6849487242,1.7225449467
3683.1683168317,2.0000000000,1215.5180633371,1.9188373802
3688.5688568857,2.0000000000,1226.4008483730,2.1109296864
3693.9693969397,2.0000000000,1238.3130698479,2.2984612122
3699.3699369937,2.0000000000,1251.2195086055,2.4811675243
3704.7704770477,2.0000000000,1265.0994920028,2.6588316210
3710.1710171017,2.0000000000,1279.9293773035,2.8312355484
3715.5715571557,2.0000000000,1295.6711740595,2.9982743782
3720.9720972097,2.0000000000,1312.3029348925,3.1598586237
3726.3726372637,2.0000000000,1329.7916861057,3.3159229054
3731.7731773177,2.0000000000,1348.1081914404,3.4664570667
3737.1737173717,2.0000000000,1367.2248273289,3.6114804690
3742.5742574257,2.0000000000,1387.1058708548,3.7510891657
3747.9747974797,2.0000000000,1407.7294992341,3.8853054054
3753.3753375338,2.0000000000,1429.0645351877,4.0142441383
3758.7758775878,2.0000000000,1451.0792012795,4.1380465369
3764.1764176418,2.0000000000,1473.7496511314,4.2568630253
3769.5769576958,2.0000000000,1497.0468098997,4.3707862108
3774.9774977498,2.0000000000,1520.9498974222,4.4799776369
3780.3780378038,2.0000000000,1545.4294025894,4.5846240823
3785.7785778578,2.0000000000,1570.4609731208,4.6848944434
3791.1791179118,2.0000000000,1596.0235235559,4.7809035748
3796.5796579658,2.0000000000,1622.0915480615,4.8728933505
3801.9801980198,2.0000000000,1648.6481994477,4.9610098463
3807.3807380738,2.0000000000,1675.6717459961,5.0454040452
3812.7812781278,2.0000000000,1703.1377070483,5.1262028158
3818.1818181818,2.0000000000,1731.0331403495,5.2036575063
3823.5823582358,2.0000000000,1759.3362108912,5.2778261099
3828.9828982898,2.0000000000,1788.0336136306,5.3489017510
3834.3834383438,2.0000000000,1817.1047129810,5.4170486899
3839.7839783978,2.0000000000,1846.5367978059,5.4823637085
3845.1845184518,2.0000000000,1876.3155033849,5.5450119257
3850.5850585059,2.0000000000,1906.4253747242,5.6050967240
3855.9855985599,2.0000000000,1936.8534072389,5.6627730477
5978.3978397840,1.0000000000,1966.6164301606,-6.4942122101
5983.7983798380,1.0000000000,1931.6207382550,-6.4660085776
5989.1989198920,1.0000000000,1896.7800908939,-6.4366058272
5994.5994599460,1.0000000000,1862.1017351440,-6.4058498350
6000.0000000000,1.0000000000,1827.5928768099,-6.3737389390
6005.4005400540,1.0000000000,1793.2607014610,-6.3401110610
6010.8010801080,1.0000000000,1759.1145301013,-6.3049271282
6016.2016201620,1.0000000000,1725.1636721340,-6.2680099012
6021.6021602160,1.0000000000,1691.4170509920,-6.2292767608
6027.0027002700,1.0000000000,1657.8843035043,-6.1886171075
6032.4032403240,1.0000000000,1624.5774067548,-6.1458495151
6037.8037803780,1.0000000000,1591.5042701180,-6.1008510600
6043.2043204320,1.0000000000,1558.6841980951,-6.0534401993
6048.6048604860,1.0000000000,1526.1271797602,-6.0034607288
6054.0054005401,1.0000000000,1493.8480283259,-5.9506687595
6059.4059405941,1.0000000000,1461.8584183159,-5.8949182489
6064.8064806481,1.0000000000,1430.1811722131,-5.8359171387
6070.2070207021,1.0000000000,1398.8320867476,-5.7734508578
6075.6075607561,1.0000000000,1367.8272704876,-5.7072414266
6081.0081008101,1.0000000000,1337.1923005947,-5.6369993169
6086.4086408641,1.0000000000,1306.9515741387,-5.5623781366
6091.8091809181,1.0000000000,1277.1216024616,-5.4830716684
6097.2097209721,1.0000000000,1247.7360556875,-5.3987516256
6102.6102610261,1.0000000000,1218.8217631205,-5.3089217755
6108.0108010801,1.0000000000,1190.4032824900,-5.2132358535
6113.4113411341,1.0000000000,1162.5240163413,-5.1112444428
6118.8118811881,1.0000000000,1135.2106805556,-5.0024483397
6124.2124212421,1.0000000000,1108.5022580943,-4.8863801706
6129.6129612961,1.0000000000,1082.4450313400,-4.7624968546
6135.0135013501,1.0000000000,1057.0793140805,-4.6302411612
6140.4140414041,1.0000000000,1032.4511832114,-4.4891273108
6145.8145814581,1.0000000000,1008.6076034621,-4.3386122298
6151.2151215122,1.0000000000,985.6063547393,-4.1780552373
6156.6156615662,1.0000000000,963.4993915311,-4.0070215392
6162.0162016202,1.0000000000,942.3452119121,-3.8250018393
6167.4167416742,1.0000000000,922.2056947326,-3.6315592082
6172.8172817282,1.0000000000,903.1419042865,-3.4263900004
6178.2178217822,1.0000000000,885.2182911002,-3.2092414892
6183.6183618362,1.0000000000,868.5015018912,-2.9799582563
6189.0189018902,1.0000000000,853.0531256552,-2.7386556198
6194.4194419442,1.0000000000,838.9409324144,-2.4855558751
6199.8199819982,1.0000000000,826.2281951659,-2.2211237696
6205.2205220522,1.0000000000,814.9713530959,-1.9460435772
6210.6210621062,1.0000000000,805.2270879436,-1.6612467399
6216.0216021602,1.0000000000,797.0443632214,-1.3679294510
6221.4221422142,1.0000000000,790.4622564130,-1.0675261519
6226.8226822682,1.0000000000,785.5218829603,-0.7616270856
6232.2232223222,1.0000000000,782.2431651468,-0.4520960948
6237.6237623762,1.0000000000,780.6416162964,-0.1408463275
6243.0243024302,1.0000000000,780.7211503940,0.1701674000
6248.4248424842,1.0000000000,782.4753040238,0.4788946366
6253.8253825383,1.0000000000,785.8869560223,0.7833980069
6259.2259225923,1.0000000000,790.9277581702,1.0818540295
6264.6264626463,1.0000000000,797.5588955544,1.3726214859
6270.0270027003,1.0000000000,805.7367596832,1.6542453296
6275.4275427543,1.0000000000,815.4081647869,1.9255034754
6280.8280828083,1.0000000000,826.5138265762,2.1854835930
6286.2286228623,1.0000000000,838.9921303278,2.4334865941
6291.6291629163,1.0000000000,852.7756536953,2.6689717727
6297.0297029703,1.0000000000,867.7972150175,2.8917619649
6302.4302430243,1.0000000000,883.9864865164,3.1018017307
6307.8307830783,1.0000000000,901.2749968302,3.2991914235
6313.2313231323,1.0000000000,919.5993386335,3.4842034645
6318.6318631863,1.0000000000,938.8882574225,3.6572007315
6324.0324032403,1.0000000000,959.0804435215,3.8186387973
6329.4329432943,1.0000000000,980.1126912340,3.9690378400
6334.8334833483,1.0000000000,1001.9308807244,4.1089519609
6340.2340234023,1.0000000000,1024.4769206004,4.2389164831
6345.6345634563,1.0000000000,1047.6973182980,4.3595820363
6351.0351035104,1.0000000000,1071.5476317779,4.4714951056
6356.4356435644,1.0000000000,1095.9807623059,4.5751983057
6361.8361836184,1.0000000000,1120.9534255835,4.6713166301
6367.2367236724,1.0000000000,1146.4250410424,4.7602963466
6372.6372637264,1.0000000000,1172.3569234622,4.8427080297
6378.0378037804,1.0000000000,1198.7203804702,4.9189447946
6383.4383438344,1.0000000000,1225.4771325336,4.9895235980
6388.8388838884,1.0000000000,1252.6010312149,5.0548584863
6394.2394239424,1.0000000000,1280.0652273886,5.1152798087
6399.6399639964,1.0000000000,1307.8444920120,5.1711986136
6405.0405040504,1.0000000000,1335.9144843583,5.2229363815
6410.4410441044,1.0000000000,1364.2497569674,5.2707790583
6415.8415841584,1.0000000000,1392.8354774983,5.3150578410
6421.2421242124,1.0000000000,1421.6540737930,5.3559841270
6426.6426642664,1.0000000000,1450.6829611033,5.3938449229
6432.0432043204,1.0000000000,1479.9074333914,5.4288324930
6437.4437443744,1.0000000000,1509.3133752834,5.4611618635
6442.8442844284,1.0000000000,1538.8877453624,5.4910509755
6448.2448244824,1.0000000000,1568.6190286878,5.5186230681
6453.6453645365,1.0000000000,1598.4938883086,5.5440657332
6459.0459045905,1.0000000000,1628.4965319677,5.5675726513
6464.4464446445,1.0000000000,1658.6256303232,5.5891999306
6469.8469846985,1.0000000000,1688.8635680917,5.6090904794
6475.2475247525,1.0000000000,1719.2059765671,5.6274195529
6480.6480648065,1.0000000000,1749.6412633994,5.6442411816
6486.0486048605,1.0000000000,1780.1662950773,5.6596895318
6491.4491449145,1.0000000000,1810.7721869271,5.6738258315
6496.8496849685,1.0000000000,1841.4498003421,5.6867411489
6502.2502250225,1.0000000000,1872.1930998316,5.6984802832
6507.6507650765,1.0000000000,1902.9962207091,5.7092009234
6513.0513051305,1.0000000000,1933.8555785079,5.7188951707
6518.4518451845,1.0000000000,1964.7659673833,5.7276593846
6523.8523852385,1.0000000000,1995.7170616039,5.7355394817
6529.2529252925,1.0000000000,2026.7147351695,5.7426051666
6534.6534653465,1.0000000000,2057.7442295624,5.7488634600
6540.0540054005,1.0000000000,2088.8072345405,5.7544108962
6545.4545454545,1.0000000000,2119.8985582151,5.7592744393
6550.8550855086,1.0000000000,2151.0109269389,5.7634541692
6556.2556255626,1.0000000000,2182.1469131322,5.7670586444
6561.6561656166,1.0000000000,2213.3004694029,5.7700645436
6567.0567056706,1.0000000000,2244.4699270807,5.7725279186
6572.4572457246,1.0000000000,2275.6512769961,5.7744625177
6577.8577857786,1.0000000000,2306.8381251275,5.7759398940
6583.2583258326,1.0000000000,2338.0362079840,5.7769613392
6588.6588658866,1.0000000000,2369.2352024423,5.7774903914
6594.0594059406,1.0000000000,2400.4381434102,5.7776402833
6599.4599459946,1.0000000000,2431.6404403451,5.7774032966
6604.8604860486,1.0000000000,2462.8386753998,5.7768007771
6610.2610261026,1.0000000000,2494.0335236007,5.7758380440
6615.6615661566,1.0000000000,2525.2248153744,5.7745237375
6621.0621062106,1.0000000000,2556.4055680054,5.7728948999
6626.4626462646,1.0000000000,2587.5759760407,5.7709710907
6631.8631863186,1.0000000000,2618.7382682845,5.7687703464
6637.2637263726,1.0000000000,2649.8842599138,5.7662851222
6642.6642664266,1.0000000000,2681.0178090610,5.7635290715
6648.0648064806,1.0000000000,2712.1374557459,5.7605592197
6653.4653465347,1.0000000000,2743.2370731405,5.7573370655
6658.8658865887,1.0000000000,2774.3196239945,5.7538649482
6664.2664266427,1.0000000000,2805.3865896723,5.7502119670
6669.6669666967,1.0000000000,2836.4296266012,5.7463180284
6675.0675067507,1.0000000000,2867.4536658209,5.7422557376
6680.4680468047,1.0000000000,2898.4521933736,5.7380189528
6685.8685868587,1.0000000000,2929.4295402723,5.7335798037
6691.2691269127,1.0000000000,2960.3807466473,5.7289512811
6696.6696669667,1.0000000000,2991.3067922997,5.7242177033
6702.0702070207,1.0000000000,3022.2090417085,5.7192786531
6707.4707470747,1.0000000000,3053.0828137216,5.7141902199
6712.8712871287,1.0000000000,3083.9261506681,5.7089669461
6718.2718271827,1.0000000000,3114.7458937985,5.7036208229
6723.6723672367,1.0000000000,3145.5352830359,5.6981329919
6729.0729072907,1.0000000000,3176.2916595017,5.6925252485
6734.4734473447,1.0000000000,3207.0166228881,5.6867940737
6739.8739873987,1.0000000000,3237.7137746980,5.6809381881
6745.2745274527,1.0000000000,3268.3771107483,5.6749952951
6750.6750675068,1.0000000000,3299.0100293951,5.6689254546
6756.0756075608,1.0000000000,3329.6087128218,5.6627668192
6761.4761476148,1.0000000000,3360.1723009390,5.6564891714
6766.8766876688,1.0000000000,3390.7021628444,5.6501304013
6772.2772277228,1.0000000000,3421.2001538884,5.6436847253
6777.6777677768,1.0000000000,3451.6606694721,5.6371532740
6783.0783078308,1.0000000000,3482.0881929379,5.6305469370
6788.4788478848,1.0000000000,3512.4766590494,5.6238355090
6793.8793879388,1.0000000000,3542.8287414687,5.6170549238
6799.2799279928,1.0000000000,3573.1469441139,5.6101876248
6804.6804680468,1.0000000000,3603.4289804620,5.6032893633
6810.0810081008,1.0000000000,3633.6690653767,5.5962977106
6815.4815481548,1.0000000000,3663.8746377503,5.5892275777
